name,rollNumber,branch,category,writtenScore,age,btechPercentage
Amit Sharma,COMPANY-CS-001,CS,GEN,98,23,82.4
Bhavna Joshi,COMPANY-CS-002,CS,GEN,95,24,79.1
Chetan Malhotra,COMPANY-CS-003,CS,GEN,92,22,81.5
Deepak Rawat,COMPANY-CS-004,CS,GEN,89,23,76.0
Esha Negi,COMPANY-CS-005,CS,GEN,86,22,78.2
Farhan Akhtar,COMPANY-CS-006,CS,GEN,55,23,71.0
Gaurav Yadav,COMPANY-CS-007,CS,OBC,85,24,75.5
Himanshu Patel,COMPANY-CS-008,CS,OBC,82,22,73.0
Ishwar Singh,COMPANY-CS-009,CS,OBC,79,23,70.5
Jatin Kumar,COMPANY-CS-010,CS,OBC,48,22,68.0
Karan Mehra,COMPANY-CS-011,CS,SC,80,24,74.0
Lalit Prasad,COMPANY-CS-012,CS,SC,76,23,72.5
Manoj Biswas,COMPANY-CS-013,CS,SC,72,22,69.0
Naman Sarkar,COMPANY-CS-014,CS,SC,45,23,65.0
Omkar Singh,COMPANY-MECH-001,MECH,GEN,97,24,84.0
Pankaj Kumar,COMPANY-MECH-002,MECH,GEN,94,23,77.5
Qasim Rizvi,COMPANY-MECH-003,MECH,GEN,91,22,80.2
Rahul Saxena,COMPANY-MECH-004,MECH,GEN,87,23,75.4
Sachin Tendulkar,COMPANY-MECH-005,MECH,GEN,84,24,79.0
Tarun Jha,COMPANY-MECH-006,MECH,GEN,52,22,64.0
Uday Chaudhary,COMPANY-MECH-007,MECH,OBC,86,23,78.0
Vineet Yadav,COMPANY-MECH-008,MECH,OBC,81,22,74.8
Waseem Khan,COMPANY-MECH-009,MECH,OBC,77,23,71.5
Xavier Kujur,COMPANY-MECH-010,MECH,OBC,46,24,63.0
Yashvardhan Rao,COMPANY-MECH-011,MECH,SC,79,22,73.5
Zeeshan Ali,COMPANY-MECH-012,MECH,SC,75,23,71.0
Anil Paswan,COMPANY-MECH-013,MECH,SC,71,22,68.5
Bhupesh Naskar,COMPANY-MECH-014,MECH,SC,42,23,62.0
Priya Nair,COMPANY-CS-015,CS,GEN,83,23,77.8
Rohit Verma,COMPANY-CS-016,CS,GEN,81,22,74.2
Sneha Reddy,COMPANY-CS-017,CS,GEN,78,24,75.0
Tanmay Bhat,COMPANY-CS-018,CS,GEN,51,23,62.1
Utkarsh Gupta,COMPANY-CS-019,CS,OBC,76,22,71.4
Vikram Rathore,COMPANY-CS-020,CS,OBC,73,23,73.6
Wani Kapoor,COMPANY-CS-021,CS,OBC,44,22,61.0
Aakash Jatav,COMPANY-CS-022,CS,SC,70,24,68.2
Bablu Paswan,COMPANY-CS-023,CS,SC,68,23,66.9
Chitra Sonkar,COMPANY-CS-024,CS,SC,41,22,59.8
Durgesh Thapa,COMPANY-MECH-015,MECH,GEN,82,23,73.9
Ekant Mishra,COMPANY-MECH-016,MECH,GEN,80,24,76.5
Faisal Sheikh,COMPANY-MECH-017,MECH,GEN,78,22,71.2
Girish Mahajan,COMPANY-MECH-018,MECH,GEN,49,23,60.5
Hardik Pandya,COMPANY-MECH-019,MECH,OBC,74,22,72.0
Inderjit Singh,COMPANY-MECH-020,MECH,OBC,72,24,69.4
Jayesh Patel,COMPANY-MECH-021,MECH,OBC,43,23,58.0
Kamlesh Koli,COMPANY-MECH-022,MECH,SC,68,22,67.1
Lokesh Ahirwar,COMPANY-MECH-023,MECH,SC,66,23,65.8
Mohit Dhobi,COMPANY-MECH-024,MECH,SC,39,22,57.4
Neha Solanki,COMPANY-CS-025,CS,GEN,87,23,80.1
Pradeep Kumar,COMPANY-MECH-025,MECH,GEN,85,24,78.9
Alok Mishra,COMPANY-CS-026,CS,GEN,80,23,74.5
Baldev Singh,COMPANY-CS-027,CS,GEN,79,24,72.0
Charu Sharma,COMPANY-CS-028,CS,GEN,77,22,73.1
Devesh Joshi,COMPANY-CS-029,CS,GEN,76,23,71.8
Elvin Joseph,COMPANY-CS-030,CS,GEN,42,22,55.0
Firoz Gandhi,COMPANY-CS-031,CS,OBC,72,23,70.0
Gaganpreet Singh,COMPANY-CS-032,CS,OBC,70,24,69.2
Hari Prasad,COMPANY-CS-033,CS,OBC,68,22,67.5
Ishwar Dutt,COMPANY-CS-034,CS,OBC,39,23,58.4
